"Feature","Gain","Cover","Frequency"
"word2vec_35",0.0036380897158139,0.00218312878839612,0.00652465536770348
"y",0.00358100638620267,0.00346548728770572,0.00521450456986862
"word2vec_41",0.0034778945669179,0.00206439142726959,0.00580433341510901
"lsa_8",0.00345786282350104,0.00208344849724456,0.00601834211116969
"word2vec_49",0.0034353660722144,0.0015826132395279,0.00595570541963973
"word2vec_6",0.00341904852735834,0.00193230070700345,0.00633674529311362
"word2vec_17",0.00339234109023946,0.00207533014905475,0.00603922100834634
"word2vec_43",0.00337925736186079,0.00188802140777626,0.00587218983093313
"word2vec_11",0.00333778372523326,0.00165825122738159,0.00605488018122883
"lda_9",0.0030550419144252,0.00341308593744608,0.00406094550085864
"los",0.00303817571891113,0.00307106150482563,0.00435846978562592
"por",0.00290567054372589,0.00295348637600197,0.00339282079120581
"de",0.00289263238723806,0.00289052421142935,0.00543373299022346
"alguno",0.00285059967508804,0.00545989545685197,0.00234887593237325
"mala",0.00268722210646654,0.00516005268599302,0.0023697548295499
"pero",0.00262660050191105,0.00338782089727465,0.00247936903972732
"s_ingles",0.0025055244982665,0.0023375346056018,0.00543373299022346
"falta_de",0.00223704132890484,0.0031558923322526,0.00184778240013362
"mas",0.00198633236499166,0.00427157277071953,0.00196783605889937
"mayor",0.00194109017979884,0.00431500078215757,0.0016546526012496
"mucho",0.0017430113472336,0.00279973768140734,0.00198871495607602
"lda_5",0.00167892242392458,0.00106443501610286,0.00257854380131641
"poco",0.00166247301985581,0.00374981097352479,0.0018373429515453
"lda_8",0.00160506389198852,0.000745026295710751,0.00313705430079183
"en_la",0.00159477315049397,0.00256817014537106,0.00201481357754683
"mal",0.00158934979410329,0.00324265096688536,0.00153459894248386
"es",0.00150473671733291,0.000909619359064045,0.00260986214708139
"deben",0.0014717059407006,0.00433873661229394,0.0013884466622473
"porqu",0.00146242733961606,0.00192957244314215,0.00180080488148616
"demasiado",0.00144169139292198,0.00276281884804867,0.00129449162495237
"no_hay",0.00143895340743768,0.00198869207232835,0.00127361272777572
"hay",0.00142750038916355,0.00216162702876447,0.00168597094701458
"las",0.00139428666800589,0.00114555570974953,0.00220272365213669
"para",0.00139170344604419,0.00152435173716109,0.00256288462843393
"longitud",0.00136563553753322,0.000737706004031105,0.00168075122272042
"se",0.00134610787058288,0.00171309287376283,0.00187388102160444
"profesor",0.00131363989648955,0.00183430223523017,0.00199915440466435
"son",0.00127610494566103,0.00159056907636046,0.00185822184872195
"carrera",0.00122463948963379,0.00181903041982459,0.00147718197524807
"a",0.00121847457678953,0.00112208441621026,0.00238019427813823
"pésima",0.00121383030581766,0.00197225489609215,0.00105438430742088
"me",0.00120454508140008,0.00225069402777507,0.001571137012543
"pesima",0.00119067631715019,0.00280947679750866,0.00102306596165591
"suben",0.00114810391918262,0.00208365902604507,0.00091867147577265
"buena",0.00114477108768503,0.0018848666863786,0.00139888611083563
"poca",0.00110680556747216,0.00266587888006561,0.00115877879330414
"mejor",0.00107929742388314,0.00269151271370258,0.00131537052212902
"cambio",0.00107378022750053,0.00195610794786163,0.00106482375600921
"muy",0.0010670523811546,0.00125438202440945,0.0016128948068963
"ya_que",0.00106476251073458,0.0031695165446698,0.00108570265318586
"alumno",0.00105149319230609,0.00104631924267523,0.00171728929277956
"con",0.00101858385929975,0.00178406688810525,0.00175382736283869
"ya",0.00101779632039071,0.00217436705493257,0.00135712831648232
"cluster_3",0.000937704360931399,0.000367505196626659,0.000454116013592162
"curso",0.000937047563022681,0.000863811709359194,0.00144064390518893
"al",0.000934504826208619,0.00133415257258208,0.00137278748936481
"tien",0.000925494361709127,0.00177638428519783,0.00117443796618663
"nivel_fc",0.000914018368809549,0.00116934422487809,0.000986527891596766
"de_la",0.000893166202250353,0.00167620509379697,0.00140410583512979
"a_los",0.000850120134403447,0.00260709658837462,0.0011639985175983
"en_el",0.0008498694507209,0.00155489279408751,0.00131537052212902
"problema",0.000832754902679691,0.00206460088194978,0.00088213340571351
"pésimo",0.000832388805807501,0.00124021959702443,0.000777738919830255
"te",0.000819086559198512,0.00163915844342838,0.000965648994420115
"es_una",0.000800004963278833,0.00118126615905856,0.000876913681419347
"un",0.000791462806122302,0.000560856340985207,0.00146674252665974
"no_es",0.000790061770980106,0.00136050282784435,0.000819496714183557
"deberían",0.000779070233582119,0.00154791341592293,0.00109092237748002
"deberian",0.000777159821939725,0.00246648703032899,0.000965648994420115
